"selection1_Bowler_name","selection1_Bowler_overs","selection1_Bowler_Runs","selection1_Bowler_wickets","selection1_Bowler_maidens","selection1_Bowler_Economy","selection1_Bowler_Dot_balls","selection1_Bowler_Fours","selection1_Bowler_Sixes","selection1_Bowler_wide_balls","selection1_Bowler_No_balls","selection1_Bowler_Match_no","selection1_Bowler_Team"
"Kagiso Rabada","4","34","0","0","8.50","8","4","1","1","0","41st Match (D/N), Chennai, April 30, 2023,
Indian Premier League","Punjab Kings"
"Sam Curran","4","46","1","0","11.50","7","5","2","3","0","41st Match (D/N), Chennai, April 30, 2023,
Indian Premier League","Punjab Kings"
"See all photos","","","","","","","","","","","",""
"Rahul Chahar","4","35","1","0","8.75","7","2","2","0","0","41st Match (D/N), Chennai, April 30, 2023,
Indian Premier League","Punjab Kings"
"Sikandar Raza","3","31","1","0","10.33","6","4","1","0","0","41st Match (D/N), Chennai, April 30, 2023,
Indian Premier League","Punjab Kings"
"See all photos","","","","","","","","","","","",""
"Liam Livingstone","1","16","0","0","16.00","0","3","0","0","0","41st Match (D/N), Chennai, April 30, 2023,
Indian Premier League","Punjab Kings"
"Akash Singh","3","35","0","0","11.66","4","3","2","1","0","41st Match (D/N), Chennai, April 30, 2023,
Indian Premier League","Chennai Super Kings"
"Tushar Deshpande","4","49","3","0","12.25","10","3","4","2","0","41st Match (D/N), Chennai, April 30, 2023,
Indian Premier League","Chennai Super Kings"
"See all photos","","","","","","","","","","","",""
"Maheesh Theekshana","4","36","0","0","9.00","5","4","0","1","0","41st Match (D/N), Chennai, April 30, 2023,
Indian Premier League","Chennai Super Kings"
"Ravindra Jadeja","4","32","2","0","8.00","8","1","2","0","0","41st Match (D/N), Chennai, April 30, 2023,
Indian Premier League","Chennai Super Kings"
"See all photos","","","","","","","","","","","",""
"Moeen Ali","1","10","0","0","10.00","2","0","1","0","0","41st Match (D/N), Chennai, April 30, 2023,
Indian Premier League","Chennai Super Kings"
"Matheesha Pathirana","4","32","1","0","8.00","6","2","0","1","0","41st Match (D/N), Chennai, April 30, 2023,
Indian Premier League","Chennai Super Kings"
"See all photos","","","","","","","","","","","",""
"Cameron Green","3","31","0","0","10.33","10","2","2","4","0","42nd Match (N), Wankhede, April 30, 2023,
Indian Premier League","Mumbai Indians"
"Jofra Archer","4","35","1","0","8.75","16","2","3","3","1","42nd Match (N), Wankhede, April 30, 2023,
Indian Premier League","Mumbai Indians"
"See all photos","","","","","","","","","","","",""
"Riley Meredith","4","51","1","0","12.75","7","9","1","2","0","42nd Match (N), Wankhede, April 30, 2023,
Indian Premier League","Mumbai Indians"
"See all photos","","","","","","","","","","","",""
"Piyush Chawla","4","34","2","0","8.50","11","2","3","0","0","42nd Match (N), Wankhede, April 30, 2023,
Indian Premier League","Mumbai Indians"
"See all photos","","","","","","","","","","","",""
"Kumar Kartikeya","2","14","0","0","7.00","6","1","1","0","0","42nd Match (N), Wankhede, April 30, 2023,
Indian Premier League","Mumbai Indians"
"Arshad Khan","3","39","3","0","13.00","5","4","2","3","0","42nd Match (N), Wankhede, April 30, 2023,
Indian Premier League","Mumbai Indians"
"See all photos","","","","","","","","","","","",""
"Trent Boult","4","43","1","0","10.75","8","7","0","2","0","42nd Match (N), Wankhede, April 30, 2023,
Indian Premier League","Rajasthan Royals"
"See all photos","","","","","","","","","","","",""
"Sandeep Sharma","4","35","1","0","8.75","5","3","1","2","0","42nd Match (N), Wankhede, April 30, 2023,
Indian Premier League","Rajasthan Royals"
"See all photos","","","","","","","","","","","",""
"Ravichandran Ashwin","4","27","2","0","6.75","8","0","2","1","0","42nd Match (N), Wankhede, April 30, 2023,
Indian Premier League","Rajasthan Royals"
"See all photos","","","","","","","","","","","",""
"Yuzvendra Chahal","3","32","0","0","10.66","5","3","2","0","0","42nd Match (N), Wankhede, April 30, 2023,
Indian Premier League","Rajasthan Royals"
"Jason Holder","3.3","55","0","0","15.71","4","5","4","2","0","42nd Match (N), Wankhede, April 30, 2023,
Indian Premier League","Rajasthan Royals"
"Kuldeep Sen","1","20","0","0","20.00","2","3","1","0","1","42nd Match (N), Wankhede, April 30, 2023,
Indian Premier League","Rajasthan Royals"
"Krunal Pandya","4","21","0","0","5.25","8","1","0","0","0","43rd Match (N), Lucknow, May 01, 2023,
Indian Premier League","Lucknow Super Giants"
"Marcus Stoinis","1","11","0","0","11.00","0","1","0","0","0","43rd Match (N), Lucknow, May 01, 2023,
Indian Premier League","Lucknow Super Giants"
"Naveen-ul-Haq","4","30","3","0","7.50","8","3","1","0","0","43rd Match (N), Lucknow, May 01, 2023,
Indian Premier League","Lucknow Super Giants"
"See all photos","","","","","","","","","","","",""
"Ravi Bishnoi","4","21","2","0","5.25","7","0","0","0","0","43rd Match (N), Lucknow, May 01, 2023,
Indian Premier League","Lucknow Super Giants"
"See all photos","","","","","","","","","","","",""
"Amit Mishra","3","21","2","0","7.00","4","0","1","0","0","43rd Match (N), Lucknow, May 01, 2023,
Indian Premier League","Lucknow Super Giants"
"See all photos","","","","","","","","","","","",""
"Yash Thakur","2","12","0","0","6.00","6","1","0","2","0","43rd Match (N), Lucknow, May 01, 2023,
Indian Premier League","Lucknow Super Giants"
"Krishnappa Gowtham","2","10","1","0","5.00","5","0","0","0","0","43rd Match (N), Lucknow, May 01, 2023,
Indian Premier League","Lucknow Super Giants"
"See all photos","","","","","","","","","","","",""
"Mohammed Siraj","3","24","1","0","8.00","11","4","0","3","1","43rd Match (N), Lucknow, May 01, 2023,
Indian Premier League","Royal Challengers Bangalore"
"See all photos","","","","","","","","","","","",""
"Josh Hazlewood","3","15","2","0","5.00","13","1","1","0","1","43rd Match (N), Lucknow, May 01, 2023,
Indian Premier League","Royal Challengers Bangalore"
"See all photos","","","","","","","","","","","",""
"Glenn Maxwell","1","3","1","0","3.00","3","0","0","0","0","43rd Match (N), Lucknow, May 01, 2023,
Indian Premier League","Royal Challengers Bangalore"
"See all photos","","","","","","","","","","","",""
"Wanindu Hasaranga","4","20","1","0","5.00","14","0","2","0","0","43rd Match (N), Lucknow, May 01, 2023,
Indian Premier League","Royal Challengers Bangalore"
"See all photos","","","","","","","","","","","",""
"Karn Sharma","4","20","2","0","5.00","12","1","1","0","0","43rd Match (N), Lucknow, May 01, 2023,
Indian Premier League","Royal Challengers Bangalore"
"See all photos","","","","","","","","","","","",""
"Harshal Patel","3.5","20","1","0","5.21","9","2","0","0","0","43rd Match (N), Lucknow, May 01, 2023,
Indian Premier League","Royal Challengers Bangalore"
"See all photos","","","","","","","","","","","",""
"Mahipal Lomror","1","4","0","0","4.00","2","0","0","0","0","43rd Match (N), Lucknow, May 01, 2023,
Indian Premier League","Royal Challengers Bangalore"
"Mohammed Shami","4","11","4","0","2.75","19","1","0","0","0","44th Match (N), Ahmedabad, May 02, 2023,
Indian Premier League","Gujarat Titans"
"See all photos","","","","","","","","","","","",""
"Hardik Pandya","1","10","0","0","10.00","3","2","0","0","1","44th Match (N), Ahmedabad, May 02, 2023,
Indian Premier League","Gujarat Titans"
"Josh Little","3","27","0","0","9.00","6","4","0","0","0","44th Match (N), Ahmedabad, May 02, 2023,
Indian Premier League","Gujarat Titans"
"Rashid Khan","4","28","1","0","7.00","12","0","3","1","0","44th Match (N), Ahmedabad, May 02, 2023,
Indian Premier League","Gujarat Titans"
"See all photos","","","","","","","","","","","",""
"Noor Ahmad","4","20","0","0","5.00","11","1","0","2","0","44th Match (N), Ahmedabad, May 02, 2023,
Indian Premier League","Gujarat Titans"
"Mohit Sharma","4","33","2","0","8.25","7","1","2","0","0","44th Match (N), Ahmedabad, May 02, 2023,
Indian Premier League","Gujarat Titans"
"See all photos","","","","","","","","","","","",""
"Khaleel Ahmed","4","24","2","1","6.00","12","4","0","0","0","44th Match (N), Ahmedabad, May 02, 2023,
Indian Premier League","Delhi Capitals"
"See all photos","","","","","","","","","","","",""
"Ishant Sharma","4","23","2","0","5.75","12","2","0","1","0","44th Match (N), Ahmedabad, May 02, 2023,
Indian Premier League","Delhi Capitals"
"See all photos","","","","","","","","","","","",""
"Anrich Nortje","4","39","1","0","9.75","11","2","3","2","0","44th Match (N), Ahmedabad, May 02, 2023,
Indian Premier League","Delhi Capitals"
"See all photos","","","","","","","","","","","",""
"Kuldeep Yadav","4","15","1","0","3.75","9","0","0","0","0","44th Match (N), Ahmedabad, May 02, 2023,
Indian Premier League","Delhi Capitals"
"See all photos","","","","","","","","","","","",""
"Axar Patel","4","24","0","0","6.00","10","1","1","1","0","44th Match (N), Ahmedabad, May 02, 2023,
Indian Premier League","Delhi Capitals"
"Deepak Chahar","4","41","0","0","10.25","9","4","2","0","0","45th Match (D/N), Lucknow, May 03, 2023,
Indian Premier League",""
"Tushar Deshpande","1","1","0","0","1.00","5","0","0","0","0","45th Match (D/N), Lucknow, May 03, 2023,
Indian Premier League",""
"Moeen Ali","4","13","2","0","3.25","11","0","0","0","0","45th Match (D/N), Lucknow, May 03, 2023,
Indian Premier League",""
"See all photos","","","","","","","","","","","",""
"Maheesh Theekshana","4","37","2","0","9.25","7","2","2","0","0","45th Match (D/N), Lucknow, May 03, 2023,
Indian Premier League",""
"See all photos","","","","","","","","","","","",""
"Ravindra Jadeja","3","11","1","0","3.66","8","0","0","0","0","45th Match (D/N), Lucknow, May 03, 2023,
Indian Premier League",""
"See all photos","","","","","","","","","","","",""
"Matheesha Pathirana","3.2","22","2","0","6.60","6","0","0","2","0","45th Match (D/N), Lucknow, May 03, 2023,
Indian Premier League",""
"See all photos","","","","","","","","","","","",""
"Ambati Rayudu,","","","Chennai Super Kings Team:","","","","","","","","",""
"Ruturaj Gaikwad,","","","Chennai Super Kings Team:","","","","","","","","",""
"Devon Conway,","","","Chennai Super Kings Team:","","","","","","","","",""
"Ajinkya Rahane,","","","Chennai Super Kings Team:","","","","","","","","",""
"Moeen Ali,","","","Chennai Super Kings Team:","","","","","","","","",""
"Shivam Dube,","","","Chennai Super Kings Team:","","","","","","","","",""
"Ravindra Jadeja,","","","Chennai Super Kings Team:","","","","","","","","",""
"MS Dhoni (c)†,","","","Chennai Super Kings Team:","","","","","","","","",""
"Matheesha Pathirana,","","","Chennai Super Kings Team:","","","","","","","","",""
"Tushar Deshpande,","","","Chennai Super Kings Team:","","","","","","","","",""
"Maheesh Theekshana,","","","Chennai Super Kings Team:","","","","","","","","",""
"Deepak Chahar","","","Chennai Super Kings Team:","","","","","","","","",""
"Cameron Green","2","15","0","0","7.50","7","2","0","0","0","46th Match (N), Mohali, May 03, 2023,
Indian Premier League","Mumbai Indians"
"Arshad Khan","4","48","1","0","12.00","9","7","2","1","0","46th Match (N), Mohali, May 03, 2023,
Indian Premier League","Mumbai Indians"
"See all photos","","","","","","","","","","","",""
"Jofra Archer","4","56","0","0","14.00","4","4","3","2","1","46th Match (N), Mohali, May 03, 2023,
Indian Premier League","Mumbai Indians"
"Piyush Chawla","4","29","2","0","7.25","7","4","0","0","0","46th Match (N), Mohali, May 03, 2023,
Indian Premier League","Mumbai Indians"
"See all photos","","","","","","","","","","","",""
"Kumar Kartikeya","3","24","0","0","8.00","3","0","1","3","0","46th Match (N), Mohali, May 03, 2023,
Indian Premier League","Mumbai Indians"
"Akash Madhwal","3","37","0","0","12.33","1","3","1","0","1","46th Match (N), Mohali, May 03, 2023,
Indian Premier League","Mumbai Indians"
"Rishi Dhawan","3","20","1","0","6.66","11","1","2","0","0","46th Match (N), Mohali, May 03, 2023,
Indian Premier League","Punjab Kings"
"See all photos","","","","","","","","","","","",""
"Arshdeep Singh","3.5","66","1","0","17.21","4","8","4","2","0","46th Match (N), Mohali, May 03, 2023,
Indian Premier League","Punjab Kings"
"See all photos","","","","","","","","","","","",""
"Sam Curran","3","41","0","0","13.66","3","5","2","1","0","46th Match (N), Mohali, May 03, 2023,
Indian Premier League","Punjab Kings"
"Nathan Ellis","4","34","2","0","8.50","4","3","0","0","0","46th Match (N), Mohali, May 03, 2023,
Indian Premier League","Punjab Kings"
"See all photos","","","","","","","","","","","",""
"Rahul Chahar","3","30","0","0","10.00","5","5","0","0","0","46th Match (N), Mohali, May 03, 2023,
Indian Premier League","Punjab Kings"
"Harpreet Brar","2","21","0","0","10.50","1","1","1","0","0","46th Match (N), Mohali, May 03, 2023,
Indian Premier League","Punjab Kings"
"Bhuvneshwar Kumar","4","33","1","0","8.25","12","6","0","1","0","47th Match (N), Hyderabad, May 04, 2023,
Indian Premier League","Sunrisers Hyderabad"
"Marco Jansen","3","24","2","0","8.00","7","3","0","0","1","47th Match (N), Hyderabad, May 04, 2023,
Indian Premier League","Sunrisers Hyderabad"
"See all photos","","","","","","","","","","","",""
"Kartik Tyagi","2","30","1","0","15.00","5","3","2","2","1","47th Match (N), Hyderabad, May 04, 2023,
Indian Premier League","Sunrisers Hyderabad"
"See all photos","","","","","","","","","","","",""
"Aiden Markram","3","24","1","0","8.00","5","2","1","0","0","47th Match (N), Hyderabad, May 04, 2023,
Indian Premier League","Sunrisers Hyderabad"
"See all photos","","","","","","","","","","","",""
"T Natarajan","4","30","2","0","7.50","9","1","1","2","0","47th Match (N), Hyderabad, May 04, 2023,
Indian Premier League","Sunrisers Hyderabad"
"Mayank Markande","4","29","1","0","7.25","8","1","2","0","0","47th Match (N), Hyderabad, May 04, 2023,
Indian Premier League","Sunrisers Hyderabad"
"See all photos","","","","","","","","","","","",""
"Harshit Rana","4","27","1","0","6.75","13","1","2","2","0","47th Match (N), Hyderabad, May 04, 2023,
Indian Premier League","Kolkata Knight Riders"
"See all photos","","","","","","","","","","","",""
"Vaibhav Arora","3","32","2","0","10.66","6","5","0","1","2","47th Match (N), Hyderabad, May 04, 2023,
Indian Premier League","Kolkata Knight Riders"
"Shardul Thakur","3","23","2","0","7.66","6","3","0","0","0","47th Match (N), Hyderabad, May 04, 2023,
Indian Premier League","Kolkata Knight Riders"
"Andre Russell","1","15","1","0","15.00","4","2","1","0","1","47th Match (N), Hyderabad, May 04, 2023,
Indian Premier League","Kolkata Knight Riders"
"See all photos","","","","","","","","","","","",""
"Anukul Roy","3","26","1","0","8.66","6","1","2","1","0","47th Match (N), Hyderabad, May 04, 2023,
Indian Premier League","Kolkata Knight Riders"
"See all photos","","","","","","","","","","","",""
"Sunil Narine","2","16","0","0","8.00","1","1","0","0","0","47th Match (N), Hyderabad, May 04, 2023,
Indian Premier League","Kolkata Knight Riders"
"Varun Chakravarthy","4","20","1","0","5.00","12","2","0","0","0","47th Match (N), Hyderabad, May 04, 2023,
Indian Premier League","Kolkata Knight Riders"
"See all photos","","","","","","","","","","","",""
"Mohammed Shami","4","27","1","0","6.75","13","2","1","2","0","48th Match (N), Jaipur, May 05, 2023,
Indian Premier League","Gujarat Titans"
"Hardik Pandya","2","22","1","0","11.00","4","3","1","0","0","48th Match (N), Jaipur, May 05, 2023,
Indian Premier League","Gujarat Titans"
"See all photos","","","","","","","","","","","",""
"Rashid Khan","4","14","3","0","3.50","13","0","0","2","0","48th Match (N), Jaipur, May 05, 2023,
Indian Premier League","Gujarat Titans"
"See all photos","","","","","","","","","","","",""
"Josh Little","4","24","1","0","6.00","7","2","0","0","0","48th Match (N), Jaipur, May 05, 2023,
Indian Premier League","Gujarat Titans"
"Noor Ahmad","3","25","2","0","8.33","7","2","1","3","0","48th Match (N), Jaipur, May 05, 2023,
Indian Premier League","Gujarat Titans"
"See all photos","","","","","","","","","","","",""
"Mohit Sharma","0.5","5","0","0","6.00","0","0","0","0","0","48th Match (N), Jaipur, May 05, 2023,
Indian Premier League","Gujarat Titans"
"Trent Boult","3","28","0","0","9.33","8","6","0","0","0","48th Match (N), Jaipur, May 05, 2023,
Indian Premier League","Rajasthan Royals"
"Sandeep Sharma","3","19","0","0","6.33","9","3","0","0","1","48th Match (N), Jaipur, May 05, 2023,
Indian Premier League","Rajasthan Royals"
"Adam Zampa","3","40","0","0","13.33","3","3","3","0","0","48th Match (N), Jaipur, May 05, 2023,
Indian Premier League","Rajasthan Royals"
"Yuzvendra Chahal","3.5","22","1","0","5.73","7","1","0","0","0","48th Match (N), Jaipur, May 05, 2023,
Indian Premier League","Rajasthan Royals"
"Ravichandran Ashwin","1","8","0","0","8.00","1","1","0","0","0","48th Match (N), Jaipur, May 05, 2023,
Indian Premier League","Rajasthan Royals"
"Deepak Chahar","3","18","2","0","6.00","10","3","0","0","0","49th Match (D/N), Chennai, May 06, 2023,
Indian Premier League","Chennai Super Kings"
"See all photos","","","","","","","","","","","",""
"Tushar Deshpande","4","26","2","0","6.50","9","2","0","1","0","49th Match (D/N), Chennai, May 06, 2023,
Indian Premier League","Chennai Super Kings"
"See all photos","","","","","","","","","","","",""
"Ravindra Jadeja","4","37","1","0","9.25","5","5","0","1","0","49th Match (D/N), Chennai, May 06, 2023,
Indian Premier League","Chennai Super Kings"
"See all photos","","","","","","","","","","","",""
"Moeen Ali","1","10","0","0","10.00","2","2","0","0","0","49th Match (D/N), Chennai, May 06, 2023,
Indian Premier League","Chennai Super Kings"
"Maheesh Theekshana","4","28","0","0","7.00","11","3","1","0","0","49th Match (D/N), Chennai, May 06, 2023,
Indian Premier League","Chennai Super Kings"
"Matheesha Pathirana","4","15","3","0","3.75","12","0","0","0","0","49th Match (D/N), Chennai, May 06, 2023,
Indian Premier League","Chennai Super Kings"
"See all photos","","","","","","","","","","","",""
"Cameron Green","1","10","0","0","10.00","4","2","0","1","1","49th Match (D/N), Chennai, May 06, 2023,
Indian Premier League","Mumbai Indians"
"Jofra Archer","4","24","0","0","6.00","11","3","0","1","0","49th Match (D/N), Chennai, May 06, 2023,
Indian Premier League","Mumbai Indians"
"Arshad Khan","1.4","28","0","0","16.80","3","2","3","0","0","49th Match (D/N), Chennai, May 06, 2023,
Indian Premier League","Mumbai Indians"
"Piyush Chawla","4","25","2","0","6.25","8","1","1","0","0","49th Match (D/N), Chennai, May 06, 2023,
Indian Premier League","Mumbai Indians"
"See all photos","","","","","","","","","","","",""
"Raghav Goyal","4","33","0","0","8.25","7","1","2","0","0","49th Match (D/N), Chennai, May 06, 2023,
Indian Premier League","Mumbai Indians"
"Tristan Stubbs","2","14","1","0","7.00","3","0","1","0","0","49th Match (D/N), Chennai, May 06, 2023,
Indian Premier League","Mumbai Indians"
"Akash Madhwal","1","4","1","0","4.00","2","0","0","0","0","49th Match (D/N), Chennai, May 06, 2023,
Indian Premier League","Mumbai Indians"
"Khaleel Ahmed","4","45","1","0","11.25","7","3","3","1","0","50th Match (N), Delhi, May 06, 2023,
Indian Premier League","Delhi Capitals"
"See all photos","","","","","","","","","","","",""
"Axar Patel","3","17","0","0","5.66","7","2","0","0","0","50th Match (N), Delhi, May 06, 2023,
Indian Premier League","Delhi Capitals"
"Ishant Sharma","3","29","0","0","9.66","5","4","0","2","0","50th Match (N), Delhi, May 06, 2023,
Indian Premier League","Delhi Capitals"
"Mukesh Kumar","3","30","1","0","10.00","6","5","0","1","0","50th Match (N), Delhi, May 06, 2023,
Indian Premier League","Delhi Capitals"
"See all photos","","","","","","","","","","","",""
"Mitchell Marsh","3","21","2","0","7.00","3","0","1","1","0","50th Match (N), Delhi, May 06, 2023,
Indian Premier League","Delhi Capitals"
"See all photos","","","","","","","","","","","",""
"Kuldeep Yadav","4","37","0","0","9.25","5","2","2","0","0","50th Match (N), Delhi, May 06, 2023,
Indian Premier League","Delhi Capitals"
"Mohammed Siraj","2","28","0","0","14.00","4","3","2","1","0","50th Match (N), Delhi, May 06, 2023,
Indian Premier League","Royal Challengers Bangalore"
"Glenn Maxwell","1.4","14","0","0","8.40","4","1","1","0","0","50th Match (N), Delhi, May 06, 2023,
Indian Premier League","Royal Challengers Bangalore"
"Josh Hazlewood","3","29","1","0","9.66","9","2","2","0","1","50th Match (N), Delhi, May 06, 2023,
Indian Premier League","Royal Challengers Bangalore"
"See all photos","","","","","","","","","","","",""
"Wanindu Hasaranga","4","32","0","0","8.00","9","2","2","0","0","50th Match (N), Delhi, May 06, 2023,
Indian Premier League","Royal Challengers Bangalore"
"Karn Sharma","3","33","1","0","11.00","4","4","1","0","0","50th Match (N), Delhi, May 06, 2023,
Indian Premier League","Royal Challengers Bangalore"
"See all photos","","","","","","","","","","","",""
"Mahipal Lomror","1","13","0","0","13.00","1","1","1","0","0","50th Match (N), Delhi, May 06, 2023,
Indian Premier League","Royal Challengers Bangalore"
"Harshal Patel","2","32","1","0","16.00","4","2","3","1","0","50th Match (N), Delhi, May 06, 2023,
Indian Premier League","Royal Challengers Bangalore"
"See all photos","","","","","","","","","","","",""
"Mohsin Khan","3","42","1","0","14.00","4","5","2","2","0","51st Match (D/N), Ahmedabad, May 07, 2023,
Indian Premier League","Lucknow Super Giants"
"Avesh Khan","4","34","1","0","8.50","8","2","2","0","0","51st Match (D/N), Ahmedabad, May 07, 2023,
Indian Premier League","Lucknow Super Giants"
"See all photos","","","","","","","","","","","",""
"Krunal Pandya","4","38","0","0","9.50","5","2","2","0","0","51st Match (D/N), Ahmedabad, May 07, 2023,
Indian Premier League","Lucknow Super Giants"
"Yash Thakur","4","48","0","0","12.00","4","2","4","1","0","51st Match (D/N), Ahmedabad, May 07, 2023,
Indian Premier League","Lucknow Super Giants"
"Ravi Bishnoi","2","21","0","0","10.50","2","0","2","1","0","51st Match (D/N), Ahmedabad, May 07, 2023,
Indian Premier League","Lucknow Super Giants"
"Kyle Mayers","1","16","0","0","16.00","1","3","0","0","1","51st Match (D/N), Ahmedabad, May 07, 2023,
Indian Premier League","Lucknow Super Giants"
"Swapnil Singh","1","7","0","0","7.00","1","0","0","0","0","51st Match (D/N), Ahmedabad, May 07, 2023,
Indian Premier League","Lucknow Super Giants"
"Marcus Stoinis","1","20","0","0","20.00","0","1","2","0","0","51st Match (D/N), Ahmedabad, May 07, 2023,
Indian Premier League","Lucknow Super Giants"
"Mohammed Shami","4","37","1","0","9.25","9","3","2","1","0","51st Match (D/N), Ahmedabad, May 07, 2023,
Indian Premier League","Gujarat Titans"
"See all photos","","","","","","","","","","","",""
"Hardik Pandya","3","37","0","0","12.33","6","6","1","2","0","51st Match (D/N), Ahmedabad, May 07, 2023,
Indian Premier League","Gujarat Titans"
"Rashid Khan","4","34","1","0","8.50","6","1","2","0","0","51st Match (D/N), Ahmedabad, May 07, 2023,
Indian Premier League","Gujarat Titans"
"Noor Ahmad","4","26","1","0","6.50","11","4","0","1","0","51st Match (D/N), Ahmedabad, May 07, 2023,
Indian Premier League","Gujarat Titans"
"Mohit Sharma","4","29","4","0","7.25","9","1","2","1","0","51st Match (D/N), Ahmedabad, May 07, 2023,
Indian Premier League","Gujarat Titans"
"See all photos","","","","","","","","","","","",""
"Alzarri Joseph","1","5","0","0","5.00","4","1","0","0","0","51st Match (D/N), Ahmedabad, May 07, 2023,
Indian Premier League","Gujarat Titans"
"Bhuvneshwar Kumar","4","44","1","0","11.00","7","6","1","2","0","52nd Match (N), Jaipur, May 07, 2023,
Indian Premier League","Sunrisers Hyderabad"
"Marco Jansen","4","44","1","0","11.00","5","6","1","1","0","52nd Match (N), Jaipur, May 07, 2023,
Indian Premier League","Sunrisers Hyderabad"
"See all photos","","","","","","","","","","","",""
"T Natarajan","4","36","0","0","9.00","8","4","1","1","0","52nd Match (N), Jaipur, May 07, 2023,
Indian Premier League","Sunrisers Hyderabad"
"Mayank Markande","4","51","0","0","12.75","7","1","6","0","0","52nd Match (N), Jaipur, May 07, 2023,
Indian Premier League","Sunrisers Hyderabad"
"Abhishek Sharma","2","15","0","0","7.50","5","1","1","0","0","52nd Match (N), Jaipur, May 07, 2023,
Indian Premier League","Sunrisers Hyderabad"
"Vivrant Sharma","2","18","0","0","9.00","4","1","1","1","0","52nd Match (N), Jaipur, May 07, 2023,
Indian Premier League","Sunrisers Hyderabad"
"Sandeep Sharma","4","48","0","0","12.00","5","5","2","0","1","52nd Match (N), Jaipur, May 07, 2023,
Indian Premier League","Rajasthan Royals"
"Kuldip Yadav","4","50","1","0","12.50","5","2","4","0","0","52nd Match (N), Jaipur, May 07, 2023,
Indian Premier League","Rajasthan Royals"
"See all photos","","","","","","","","","","","",""
"Ravichandran Ashwin","4","35","1","0","8.75","5","2","1","3","0","52nd Match (N), Jaipur, May 07, 2023,
Indian Premier League","Rajasthan Royals"
"Yuzvendra Chahal","4","29","4","0","7.25","11","3","1","0","0","52nd Match (N), Jaipur, May 07, 2023,
Indian Premier League","Rajasthan Royals"
"See all photos","","","","","","","","","","","",""
"Murugan Ashwin","3","42","0","0","14.00","3","2","4","0","0","52nd Match (N), Jaipur, May 07, 2023,
Indian Premier League","Rajasthan Royals"
"Obed McCoy","1","13","0","0","13.00","2","1","1","1","0","52nd Match (N), Jaipur, May 07, 2023,
Indian Premier League","Rajasthan Royals"
"Vaibhav Arora","3","32","0","0","10.66","8","7","0","1","0","53rd Match (N), Eden Gardens, May 08, 2023,
Indian Premier League","Kolkata Knight Riders"
"Harshit Rana","3","33","2","0","11.00","9","4","2","0","1","53rd Match (N), Eden Gardens, May 08, 2023,
Indian Premier League","Kolkata Knight Riders"
"Andre Russell","1","19","0","0","19.00","1","4","0","0","1","53rd Match (N), Eden Gardens, May 08, 2023,
Indian Premier League","Kolkata Knight Riders"
"Varun Chakravarthy","4","26","3","0","6.50","11","2","1","1","0","53rd Match (N), Eden Gardens, May 08, 2023,
Indian Premier League","Kolkata Knight Riders"
"Suyash Sharma","4","26","1","0","6.50","12","1","2","1","0","53rd Match (N), Eden Gardens, May 08, 2023,
Indian Premier League","Kolkata Knight Riders"
"Sunil Narine","4","29","0","0","7.25","9","2","1","1","0","53rd Match (N), Eden Gardens, May 08, 2023,
Indian Premier League","Kolkata Knight Riders"
"Nitish Rana","1","7","1","0","7.00","3","1","0","0","0","53rd Match (N), Eden Gardens, May 08, 2023,
Indian Premier League","Kolkata Knight Riders"
"Rishi Dhawan","2","15","0","0","7.50","5","2","0","0","0","53rd Match (N), Eden Gardens, May 08, 2023,
Indian Premier League","Punjab Kings"
"Arshdeep Singh","4","39","0","0","9.75","10","6","1","1","0","53rd Match (N), Eden Gardens, May 08, 2023,
Indian Premier League","Punjab Kings"
"Nathan Ellis","4","29","1","0","7.25","7","2","1","0","0","53rd Match (N), Eden Gardens, May 08, 2023,
Indian Premier League","Punjab Kings"
"Sam Curran","3","44","0","0","14.66","5","5","3","1","0","53rd Match (N), Eden Gardens, May 08, 2023,
Indian Premier League","Punjab Kings"
"Liam Livingstone","2","27","0","0","13.50","2","4","1","0","0","53rd Match (N), Eden Gardens, May 08, 2023,
Indian Premier League","Punjab Kings"
"Harpreet Brar","1","4","1","0","4.00","2","0","0","0","0","53rd Match (N), Eden Gardens, May 08, 2023,
Indian Premier League","Punjab Kings"
"Rahul Chahar","4","23","2","0","5.75","8","1","0","1","0","53rd Match (N), Eden Gardens, May 08, 2023,
Indian Premier League","Punjab Kings"
"Jason Behrendorff","4","36","3","0","9.00","9","5","1","0","0","54th Match (N), Wankhede, May 09, 2023,
Indian Premier League","Mumbai Indians"
"See all photos","","","","","","","","","","","",""
"Piyush Chawla","4","41","0","0","10.25","8","5","2","0","0","54th Match (N), Wankhede, May 09, 2023,
Indian Premier League","Mumbai Indians"
"Cameron Green","2","15","1","0","7.50","6","3","0","0","0","54th Match (N), Wankhede, May 09, 2023,
Indian Premier League","Mumbai Indians"
"Chris Jordan","4","48","1","0","12.00","7","4","3","1","0","54th Match (N), Wankhede, May 09, 2023,
Indian Premier League","Mumbai Indians"
"See all photos","","","","","","","","","","","",""
"Kumar Kartikeya","4","35","1","0","8.75","6","3","1","1","0","54th Match (N), Wankhede, May 09, 2023,
Indian Premier League","Mumbai Indians"
"See all photos","","","","","","","","","","","",""
"Akash Madhwal","2","23","0","0","11.50","1","1","1","0","1","54th Match (N), Wankhede, May 09, 2023,
Indian Premier League","Mumbai Indians"
